,class_normal,date_time_raw,driver_id,road_type,total_dist,date_time_clean,temp_F,dp_F,humidity_pct,wind_direction,wind_speed_mph,wind_gust_mph,pressure_in,precipitation_in,condition,day_night
0,NORMAL,20151110175712,D1,SECONDARY,16,2015-11-10 06:00 PM,72,43,35,VAR,2,0,28.32,0.0,Fair,Night
1,NOT NORMAL,20151111135612,D1,SECONDARY,13,2015-11-11 02:00 PM,64,45,49,S,3,0,28.29,0.0,Fair,Day
2,NOT NORMAL,20151111134545,D1,SECONDARY,16,2015-11-11 02:00 PM,64,45,49,S,3,0,28.29,0.0,Fair,Day
3,NOT NORMAL,20151111132348,D1,MOTORWAY,25,2015-11-11 01:30 PM,63,46,55,S,3,0,28.29,0.0,Fair,Day
4,NOT NORMAL,20151111125233,D1,MOTORWAY,24,2015-11-11 01:00 PM,61,46,59,S,1,0,28.32,0.0,Fair,Day
5,NORMAL,20151110180824,D1,SECONDARY,16,2015-11-10 06:00 PM,72,43,35,VAR,2,0,28.32,0.0,Fair,Night
6,NORMAL,20151111123124,D1,MOTORWAY,25,2015-11-11 12:30 PM,57,45,63,WNW,3,0,28.32,0.0,Fair,Day
7,NORMAL,20151221112434,D6,SECONDARY,17,2015-12-21 11:30 AM,41,37,87,CALM,0,0,28.46,0.0,Fair,Day
8,NORMAL,20151217162714,D6,MOTORWAY,26,2015-12-17 04:30 PM,59,39,48,S,2,0,28.35,0.0,Fair,Day
9,NOT NORMAL,20151221120051,D6,MOTORWAY,26,2015-12-21 12:00 PM,45,37,76,S,1,0,28.46,0.0,Fair,Day
10,NOT NORMAL,20151217164730,D6,MOTORWAY,25,2015-12-17 05:00 PM,61,39,45,CALM,0,0,28.32,0.0,Fair,Day
11,NOT NORMAL,20151221113846,D6,SECONDARY,16,2015-12-21 11:30 AM,41,37,87,CALM,0,0,28.46,0.0,Fair,Day
12,NORMAL,20151126124208,D3,SECONDARY,16,2015-11-26 12:30 PM,55,30,38,VAR,1,0,28.15,0.0,Fair,Day
13,NOT NORMAL,20151126132013,D3,SECONDARY,17,2015-11-26 01:30 PM,61,25,25,NNW,6,0,28.15,0.0,Fair,Day
14,NOT NORMAL,20151126130707,D3,SECONDARY,16,2015-11-26 01:00 PM,59,27,29,N,7,0,28.15,0.0,Fair,Day
15,NORMAL,20151126125458,D3,SECONDARY,16,2015-11-26 01:00 PM,59,27,29,N,7,0,28.15,0.0,Fair,Day
16,NOT NORMAL,20151126113754,D3,MOTORWAY,26,2015-11-26 11:30 AM,50,30,47,N,3,0,28.15,0.0,Fair,Day
17,NOT NORMAL,20151126134736,D3,MOTORWAY,26,2015-11-26 02:00 PM,59,32,36,NNW,17,29,28.15,0.0,Fair,Day
18,NORMAL,20151126110502,D3,MOTORWAY,26,2015-11-26 11:00 AM,50,28,43,SSE,3,0,28.15,0.0,Fair,Day
19,NOT NORMAL,20151204154908,D4,MOTORWAY,25,2015-12-04 04:00 PM,61,41,48,VAR,1,0,28.48,0.0,Fair,Day
20,NORMAL,20151203173103,D4,SECONDARY,17,2015-12-03 05:30 PM,61,39,45,SSW,5,0,28.37,0.0,Fair,Night
21,NORMAL,20151203171800,D4,SECONDARY,16,2015-12-03 05:30 PM,61,39,45,SSW,5,0,28.37,0.0,Fair,Night
22,NORMAL,20151204152848,D4,MOTORWAY,25,2015-12-04 03:30 PM,61,41,48,VAR,2,0,28.48,0.0,Fair,Day
23,NOT NORMAL,20151204160823,D4,MOTORWAY,25,2015-12-04 04:00 PM,61,41,48,VAR,1,0,28.48,0.0,Fair,Day
24,NOT NORMAL,20151203174324,D4,SECONDARY,16,2015-12-03 05:30 PM,61,39,45,SSW,5,0,28.37,0.0,Fair,Night
25,NOT NORMAL,20151203175637,D4,SECONDARY,17,2015-12-03 06:00 PM,61,39,45,SSW,3,0,28.37,0.0,Fair,Night
26,NORMAL,20151211164124,D5,SECONDARY,17,2015-12-11 04:30 PM,57,43,59,VAR,1,0,28.40,0.0,Partly Cloudy,Day
27,NOT NORMAL,20151211170502,D5,SECONDARY,16,2015-12-11 05:00 PM,57,43,59,VAR,1,0,28.37,0.0,Mostly Cloudy,Day
28,NOT NORMAL,20151211160213,D5,MOTORWAY,25,2015-12-11 04:00 PM,57,43,59,SW,1,0,28.40,0.0,Partly Cloudy,Day
29,NORMAL,20151211162829,D5,SECONDARY,16,2015-12-11 04:30 PM,57,43,59,VAR,1,0,28.40,0.0,Partly Cloudy,Day
30,NOT NORMAL,20151209153137,D5,MOTORWAY,25,2015-12-09 03:30 PM,59,45,59,NNW,5,0,28.51,0.0,Fair,Day
31,NORMAL,20151209151242,D5,MOTORWAY,25,2015-12-09 03:00 PM,59,45,59,NW,3,0,28.51,0.0,Fair,Day
32,NOT NORMAL,20151211165606,D5,SECONDARY,12,2015-12-11 05:00 PM,57,43,59,VAR,1,0,28.37,0.0,Mostly Cloudy,Day
33,NOT NORMAL,20151120163350,D2,SECONDARY,16,2015-11-20 04:30 PM,68,50,52,S,5,0,28.32,0.0,Fair,Day
34,NOT NORMAL,20151120135152,D2,MOTORWAY,25,2015-11-20 02:00 PM,61,48,63,VAR,2,0,28.37,0.0,Fair,Day
35,NOT NORMAL,20151120133502,D2,MOTORWAY,26,2015-11-20 01:30 PM,59,48,67,SSE,1,0,28.40,0.0,Fair,Day
36,NOT NORMAL,20151120164606,D2,SECONDARY,16,2015-11-20 05:00 PM,70,46,43,WSW,8,0,28.29,0.0,Fair,Day
37,NORMAL,20151120160904,D2,SECONDARY,16,2015-11-20 04:00 PM,68,48,49,SSW,5,0,28.32,0.0,Fair,Day
38,NORMAL,20151120131714,D2,MOTORWAY,26,2015-11-20 01:30 PM,59,48,67,SSE,1,0,28.40,0.0,Fair,Day
39,NORMAL,20151120162105,D2,SECONDARY,17,2015-11-20 04:30 PM,68,50,52,S,5,0,28.32,0.0,Fair,Day
